(all) fucked up	(total) im Arsch
disruptive	zerreißende
disruptively	zerreißendes
disruptiveness	Zersetzung
disrupts	zerreißt
dissatisfaction	Unzufriedenheit
dissatisfactory	unbefriedigend
dissatisfied	frustriert
dissatisfies	befriedigt nicht
dissatisfy	missfallen
dissatisfying	nicht befriedigend
dissected	zerlegte
dissecting	zerlegend
dissection	Zergliederung
dissector	Sezierer
dissects	zerlegt
dissembled	verbarg
dissembler	Heuchler
dissembles	verbirgt
dissembling	heuchelnd
disseminated	verbreitete
disseminates	verbreitet
disseminating	verbreitend
dissemitation	Verbreitung  von Informationen
dissension	Meinungsverschiedenheit
dissented	war anderer Meinung
dissenter	Andersdenkende
dissenting	nicht übereinstimmend
dissents	ist anderer Meinung
dissertations	Dissertationen
disservice	Meinungsverschiedenheit
dissidents	Dissidenten
dissimilar	unähnlich
dissimilarities	Unähnlichkeiten
dissimilarity	Unähnlichkeit
dissimilarly	unähnlich
dissimulated	verheimlichte
dissimulates	verheimlicht
dissimulating	verheimlichend
dissimulation	Verheimlichung
dissimulations	Verheimlichungen
dissipated	ausschweifend
dissipated in luxury	verprasste
dissipatedly	liederlich
dissipatedness	Liederlichkeit
dissipates	vergeudet
dissipating	verschwendend
dissipating in luxury	verprassend
dissipation	Ausschweifung
dissipation factor	dielektrischer Verlustfaktor
dissociate from	distanziere
dissociated	getrennt
dissociated from	distanzierte
dissociates	trennt
dissociates from	distanziert
dissociating	trennend
dissociating from	distanzierend
dissociation	Absonderung
dissociations	Absonderungen
dissociative	trennend
dissolubility	Löslichkeit
dissoluble	auflösbar
dissolute	liederlich
dissolute life	Lasterleben
dissolutely	liederliche
dissoluteness	Liederlichkeit
dissolution	Auflösung
dissolutions	Auflösungen
dissolvability	Auflösbarkeit
dissolvable	auflösbar
dissolve	scheiden
dissolved	aufgelöst
dissolver	Lösungsmittel
dissolves	löst auf
dissolving	auflösend
dissonance	Missklang
dissonant	abweichend
dissonantly	abweichend
dissuaded	abgebracht
dissuaded from	abgeraten
dissuades	rät ab
dissuading	abbringend
dissuading from	abratend
dissuasion	Abraten
dissuasively	abratende
dissuasiveness	Abmahnung
dissyllabic	zweisilbig
distaction	Ablenkung
distaff	Spinnrocken
distally	distal
distance	Abstand
distance learning institute	Fernuniversität
distance piece	Distanzstück
distanced	distanzierte
distances	Abstände
distancing	distanzierend
distant	abstehend
distant call	Fernanruf
distantly	entfernt
distantness	Weite
distaste	Widerwille
distasteful	widerlich
distastefully	widerliche
distastefulness	Widerlichkeit
distemper	Staupe
distempered	missgestimmt
distempering	störend
distempers	Staupen
distend	ausdehnen
distended	ausgedehnt
distending	ausdehnend
distends	dehnt
distensibility	Dehnbarkeit
distensible	dehnbar
distension	Dehnung
distensions	Dehnungen
distich	Zweizeiler
distiches	Zweizeiler
distill	destillieren
distillate	Destillat
distillates	Destillate
distillation	Destillation
distilled	destillierte
distiller	Branntweinbrenner
distilleries	Branntweinbrennereien
distillery	Branntweinbrennerei
distilling	destillierend
distils	destillierte
distinct	ausgeprägt
distinct (from)	deutlich
distinction	Auszeichnung
distinctions	Unterschiede
distinctive	ausgeprägt
distinctive feature	Unterscheidungsmerkmal
distinctive mark	Erkennungszeichen
distinctively	bezeichnend
distinctiveness	Besonderheit
distinctly	verschieden
distinctness	Deutlichkeit
distinguish	hervorheben
distinguishable	unterscheidbar
distinguishably	unterscheidbare
distinguished	ausgezeichnet
distinguishes	unterscheidet
distinguishing	auszeichnend
distinguishing mark	Kennzeichen
distoma	Saugwurm
distorted	verdrehte
distorting	sinnentstellend
distorting mirror	Vexierspiegel
distortion	Verkrümmung
distortion factor	Klirrfaktor
distortion of words	Wortverdrehung
distorts	verdreht
distract with pain	wahnsinnig vor Schmerz
distracted	abgelenkt
distractedly	verwirrend
distractibility	Zerstreuung
distractible	zerstreubar
distracting	ablenkend
distraction	Ablenkung
distractions	Ablenkungen
distractive	ablenkend
distracts	lenkt ab
distrainable	pfändbar
distrained	gepfändet
distrainee	Gepfändete
distrainees	Gepfändeten
distraining	pfändend
distrainor	Pfänder
distrainors	Pfänder
distrains	pfändet
distraint	Pfändung
distraints	Pfändungen
distraught	bestürzt
distress	Bedrängnis
distress at sea	Seenot
distress warrant	Pfändungsbefehl
distressed	quälte
distresses	Notlagen
distressful	qualvoll
distressfully	qualvolle
distressfulness	Jämmerlichkeit
distressing	peinlich
distressingly	peinliche
distributable	verteilbar
distributed	ausgeteilt
distributes	verteilt
distributing	Verteiler...
distributing main	Sammelleitung
distribution	Verbreitung
distribution box	Abzweigdose
distribution function	Verteilungsfunktion
distribution list	Verteiler
distribution of (Christmas) presents	Bescherung  (Weihnachten)
distributive	verteilend
distributive law	Distributivgesetz  [math.]
distributive share	Erbteil
distributively	verteilende
distributor	Verteiler
distributors	Verteiler
district	Bezirk
district heating	Fernheizung
districts	Gegenden
distrust	misstrauen
distrusted	misstraute
distrustful	misstrauisch
distrustfully	misstrauisch
distrustfulness	Argwohn
distrusting	misstrauend
distrustingly	misstrauische
distrusts	misstraut
disturbance	Beunruhigung
disturbance of equilibrium	Gleichgewichtsstörung
disturbance of memory	Gedächtnisstörung
disturbance variable	Störgröße
disturbances	Störungen
disturbances of equilibrium	Gleichgewichtsstörungen
disturbances of memory	Gedächtnisstörungen
disturbed	beunruhigte
disturber	Unruhestifter
disturbing	beunruhigend
disturbs	beunruhigt
disunited	trennte
disunites	trennt
disuniting	trennend
disunity	Uneinigkeit
disuse	nicht mehr gebrauchen
disused	ausgedient
disusenichtmehr	gebrauchen
ditch	Graben
ditched	entgleist
ditches	Gräben
ditching	notlandend
dither	Aufregung
ditties	Liedchen
ditto	desgleichen
ditty	Liedchen
diuretic	harntreibend
diurnal	täglich
diurnally	tägliche
divan	Diwan
divas	Divas
dive fighter	Sturzkampfflugzeug
dived	getaucht
diver	Springer
diverge	divergieren
diverged	divergierte
divergence	Abweichung
divergences	Abweichungen
divergency	Abzweigung
divergent	abweichend
divergently	abweichend
diverges	divergiert
diverging	divergierender
divers	Taucher
diverse	divers
diversely	verschieden
diverseness	Verschiedenheit
diversification	Veränderung
diversified	abwechslungsreich
diversifies	verändert
diversify	verändern
diversifying	verändernd
diversion	Umleitung
diversities	Verschiedenheiten
diversity	Mannigfaltigkeit
diverted	abgelenkt
diverting	ablenkend
diverts	lenkt ab
dives	taucht
divested	entblößte
divesting	entblößend
divestiture	Entblössung
divestment	Beraubung
divests	entblößt
dividable	trennbar
divide into four parts	vierteilen
divided	abgeteilt
divided in	eingeteilt
dividedness	Uneinigkeit
dividend	Dividend  (zu teilende Zahl)
divider	teiler
dividers	Steckzirkel
divides	dividiert
dividing	abteilend
dividing in	einteilend
divination	Weissagung
divine	göttlich
divine service	Gottesdienst
divined	ahnte voraus
divinely	göttliche
divineness	Göttlichkeit
diviner	Rutengänger
divines	Geistlichen
diving	tauchend
diving	Kunstspringen
diving bell	Taucherglocke
diving suit	Taucheranzug
divining rod	Wünschelrute
divinities	Gottheiten
divinity	Gottheit
divisibility	Teilbarkeit
divisible	teilbar
divisiblities	Teilbarkeiten
divisibly	teilbare
division	Abteilung
division by zero	Division  durch Null
division of labour	Arbeitsteilung
division scale	Strichskala
divisional	Teilungs...
divisions of labour	Arbeitsteilungen
divisive	teilend
divisively	teilende
divisor	Divisor  (Teiler des Bruches)
divorce	Ehescheidung
divorce suit	Scheidungsklage
divorced	geschieden
divorcees	Geschiedenen
divorces	Ehescheidungen
divulgation	Verbreitung
divulged	ausgeplaudert
divulgement	Enthüllung
divulgence	Verbreitung
divulges	enthüllt
divulging	ausplaudernd
dizzied	verwirrt
dizzier	schwindliger
dizzies	verwirrtes
dizziest	schwindligste
dizzily	schwindelig
dizziness	Schwindel
dizzinesses	Schwindelanfälle
dizzy	schwindelerregend
dizzying	verwirrend
dizzyingly	verwirrte
Djibouti (dj)	Dschibuti
do as you please	tun Sie
do come!	komm doch!
do damage	schadest
do good	Wohltun
do handicrafts	basteln
do it for my sake	tu es mir zuliebe
do it with a clear conscience	tun Sie es mit reinem Gewissen
do it without delay	tu es sofort
do it yourself	tu es selbst
do me a favour	tu mir einen Gefallen
do not	nicht tun
do something oneself (on one's own)	etwas in eigener Regie machen
Do you carry silk?	Führen Sie Seide?
Do you ever see him?	Siehst du ihn jemals?
Do you feel hungry?	Haben Sie Hunger?
Do you have a light?	Haben Sie Feuer?
Do you have any comments to make?	Haben Sie (dazu) etwas zu bemerken?
do you have any money with you?	haben Sie Geld bei sich?
do you mind if I smoke	haben Sie etwas dagegen
Do you play the piano?	Spielen Sie Klavier?
Do you plead guilty?	Bekennen Sie sich schuldig?
Do you remember me?	Erinnern Sie sich an mich?
do you see the point?	verstehen Sie
Do you take me?	Verstehen Sie mich?
Do your worst!	Mach
do-nothing	nichts tun
do-statement	Schleifenanweisung
doable	ausführbar
dob	Rohdiamant
dobbin	Schindmähre
doberman	Dobermann
doc	Doktor
docile	fügsam
docilely	fügsame
dociler	fügsamer
docilest	fügsamste
docility	Fügsamkeit
dock area	Hafenviertel
dockage	Kaigebühr
docked	landete
docker	Hafenarbeiter
docket	Prozessliste
docking	Kopplung  (Raumfahrt)
docking (with)	Ankopplung  (an) (Raumfahrt)
docks	Hafenanlagen
dockyard	Werft
docs	Doktoren
doctor	Arzt
doctor's surgery	Arztpraxis
doctoral	Doktor
doctorate	Doktorat
doctored	verarztete
doctoring	verarztend
doctors	Doktoren
doctrinaire	doktrinär
doctrine	Doktrin
doctrines	Lehren
document	Dokument
document reader	Belegleser
document sorter	Belegsortierer
documentable	dokumentierbar
documental	dokumentarisch
documentaries	Dokumentarfilme
documentary	aktenmäßig
documentary evidence	Urkundenbeweis
documentary film	Dokumentarfilm
documentation	Dokumentation
documentation components	Dokumentationsunterlagen
documented	dokumentiert
documenting	dokumentieren
documents	Akten
dodder	schlottern
doddered	schlotterte
doddering	schlotternd
dodders	schlottert
dodecagon	Zwölfeck
dodecagonal	zwölfeckig
dodecagons	Zwölfecke
dodge	Winkelzug
dodged	wich aus
dodger	Schwindler
dodges	Winkelzüge
dodging	ausweichend
dodgy	riskant
dodgy weather	unstetes Wetter
dodo	Dronte
doer	Handelnde
does	tut
does damage	schadet
does gymnastics	turnt
does handicrafts	bastelt
does it make sense to you?	werden Sie daraus klug?
does that meet with your approval?	findet das Ihre Zustimmung?
Does that name ring the bell?	Erinnert Sie der Name an jemanden?
Does this make sense to you?	Werden Sie daraus klug?
does this mean anything to you?	ist Ihnen das ein Begriff?
does this suit your taste?	entspricht das Ihrem Geschmack?
does without	entbehrt
doesn't	tue nicht
doffed	zog aus
doffing	ausziehend
doffs	zieht aus
dog	Hund
dog breeding	Hundezucht
dog kennel	Hundehütte
dog rose	Heckenrose
dog sledding 	Schlittenhunderennen
dog tag	Hundemarke
dogfight	Nahkampf
dogged	verbissen
doggedly	verbissene
doggedness	Verbissenheit
doggerel	holperig
doggie	Hündchen
doggies	Hündchen
dogging	verfolgend
doggish	hündisch
doggishness	Bissigkeit
doggy	fesch
doghouse	Hundehütte
dogmatic	dogmatisch
dogmatical	dogmatische
dogmatically	dogmatisches
dogmaticalness	Bestimmtheit
dogmatism	Dogmatismus
dogmatisms	rechthabereien
dogmatist	Dogmatiker
dogs	Hunde
dogsbody	Handlanger
dogwood	Hartriegel
doilies	Tassenunterlagen
doily	Tassenunterlage
doing	tuend
doing again	wiedertuend
doing damage	schadend
doing down	hinuntergehender
doing gymnastics	turnend
doing handicrafts	bastelnd
doing without	entbehrend
doings	Dinge
doldrums	Flaute
dole	Arbeitlosenunterstützung
doled	verteilte sparsam
doleful	traurig
dolefully	traurige
dolefulness	Kummer
doles	Arbeitslosenunterstützungen
doll	Puppe
dollar	Dollar
dollars	Dollars
dollied	schlug
dollies	Puppen
dollop	Klumpen
dolls	Puppen
dolly	Puppe
dollying	schlagend
dolor	Qual
dolorous	schmerzhaft
dolorously	schmerzhaft
dolorousness	Traurigkeit
dolors	Qualen
dolphin	Delphin
dolphine	Delphin
dolt	Tölpel
domain	Bereich
dome	Dom
domed	gewölbt
domes	Kuppeln
domestic	Dienstbote
domestic (internal) flight	Inlandflug
domestic animal	Haustier
domestic apprenticeship	Haushaltungslehre
domestic economy	Hauswirtschaft
domestic fuel	Hausbrand
domestic happiness	Familienglück
domestic market	Binnenmarkt
domestic pig	Hausschwein
domestic sales	Inlandsabsatz
domestic science	Hauswirtschaftslehre
domestic science school	Haushaltungsschule
domestic trade	Binnenhandel
domestically	häusliche
domesticated	zähmte
domesticates	zähmt
domesticating	zähmend
domestication	Zähmung
domesticity	Häuslichkeit
domestics	Dienerschaft
domicile	Domizil
domiciled	ansässig
domiciles	Domizile
domiciliary arrest	Hausarrest
domiciling	ansiedelnd
dominance	Vorherrschaft
dominant	beherrschend
dominantly	dominant
dominated	dominierte
dominated convergence	majorisierte Konvergenz  [math.]
dominates	dominiert
dominating	dominierend
domination	Vorherrschaft
dominator	Beherrscher
domineered	tyrannisierte
domineering	tyrannisch
domineeringly	tyrannische
domineers	tyrannisiert
Dominica (dm)	Dominica
dominican	Dominikaner
Dominican Republic (do)	Dominikanische Republik
dominie	Schulmeister
dominion	Herrschaft
don't	kein
don't be a poor sport	sei kein Spielverderber
Don't be cross with me.	Sei mir nicht böse.
don't be deceived	man lasse sich nicht täuschen
Don't be down in the mouth.	Lassen Sie den Kopf nicht hängen.
don't be in such a hurry	nur keine solche Eile
Don't be so fussy!	Meckern Sie nicht!
Don't beat about the bush!	Reden Sie nicht um den heißen Brei herum!
Don't bother about it.	Kümmern Sie sich nicht darum.
Don't bother me!	Lass mich in Frieden!
Don't bother!	Bemühe dich nicht!
Don't darken my door again.	Komm mir nie wieder ins Haus.
Don't fail to come!	Komm ganz bestimmt!
don't fail to go there	versäumen Sie nicht hinzugehen
Don't fuss!	Mach kein Theater!
Don't get discouraged.	Lassen Sie sich nicht entmutigen.
don't get me wrong	versteh mich nicht falsch
don't get out of patience	werde nicht ungeduldig
Don't get out of patience!	Werde nicht ungeduldig!
Don't go on like that!	Hör auf damit!
Don't halloo till you're out of the wood!	Freu dich nicht zu früh!
Don't I know it!	Und ob ich es weiß!
Don't interrupt me!	Unterbrechen Sie mich nicht!
Don't keep asking me.	Frag doch nicht andauernd.
Don't keep crying!	Heul nicht ständig!
Don't lay the blame on me!	Schieben Sie die Schuld nicht auf mich!
Don't let it trouble you!	Machen Sie sich deswegen keine Gedanken!
Don't let me disturb you!	Lassen Sie sich nicht abhalten!
don't let me keep you	ich will Sie nicht länger aufhalten
Don't let me keep you.	Lass dich nicht aufhalten.
Don't let on anything!	Lass dir nichts anmerken!
Don't let yourself be fooled.	Lassen Sie sich nicht täuschen.
don't lie to me	lüge mich nicht an
Don't lie to me!	Lüg mich nicht an!
Don't look like that.	Schau nicht so dumm.
don't lose courage	verlieren Sie den Mut nicht
don't lose heart	lass dich nicht entmutigen
Don't lose heart!	Lass dich nicht entmutigen!
Don't make me laugh!	Dass ich nicht lache!
Don't meet trouble halfway!	Malen Sie nicht den Teufel an die Wand!
don't mention it	bitte
Don't mention it.	Keine Ursache.
don't push!	nicht drängeln!
don't put the blame on me	schieb die Schuld nicht auf mich
Don't put the saddle on the wrong horse!	Beschuldigen Sie nicht den Falschen!
Don't run away with the idea.	Glauben Sie es bloß nicht.
don't split hairs!	keine Haarspalterei!
Don't take it amiss.	Nehmen Sie es nicht übel.
don't talk rubbish	red keinen Quatsch!
don't talk so loud	rede nicht so laut
Don't worry!	Machen Sie sich keine Sorgen!
donah	Liebste
donate	schenken
donated	gegebene
donates	schenkt
donating	schenkend
donation	Geldgeschenk
donation in kind	Sachspende
done	abgemacht
done again	wiedergetan
done damage	geschadet
done good	wohlgetan
done gymnastics	geturnt
done handicrafts	gebastelt
done twice	zweimalig
done without	entbehrte
done}	tun
dong	Schwanz
donkey	Esel
donor	Donator  (Elektronenspender bei Halbl.)
doodled	kritzelte
doodles	kritzelt
doodling	kritzelnd
